product_id,product_name,price
cc0b3b32-33b0-407e-8d1d-2857588e4697,Flour - Semolina,1.86
895355de-a035-4a63-9ed9-514af6b25137,Chinese Foods - Pepper Beef,6.56
a445e380-3b27-49e9-b2bd-b01612ecf2a7,Savory,2.24
5c8526ac-4355-4eb0-ae09-63f0fd14f0aa,Nantucket - 518ml,8.2
b60ad96a-75c6-4b13-a5fa-5f1ad99bec13,"Melon - Watermelon, Seedless",1.19
41c9ab9d-cb5b-4137-b948-6fd17fee75d7,Whmis - Spray Bottle Trigger,7.27
5d6084b8-ba20-46b3-bddc-84a410099a64,Mackerel Whole Fresh,6.04
53442b2e-efeb-4602-954f-d1c7496ddf58,Lobster - Canned Premium,7.9
aefa3d44-c4b5-4fa9-96f9-127b6ca58582,Beef - Tenderloin Tails,1.72
4c61819d-1cb5-40ad-a5b3-7b87853bf6aa,"Soup - Knorr, Classic Can. Chili",9.37
356fa934-bc7c-4f15-975b-87c650739249,Hot Chocolate - Individual,0.43
dca7407e-4512-4464-ad53-6e0cd97d4245,Sauce - Thousand Island,3.96
ea48a9df-1cd8-4122-a95c-8b1bf2abcf2e,Wine - Alsace Riesling Reserve,4.37
c3103c06-a680-4a75-818e-d8dee261472f,Chicken - Whole,7.4
ad364ccf-4c1c-470f-811c-e552ead9ecf3,Container - Clear 16 Oz,7.12
b4561d9b-d341-45a5-b5eb-b9ed68755685,Pernod,1.74
a4f3846d-cd2f-4664-b500-26df73e01261,Butcher Twine 4r,0.67
c8c8d516-9bf3-471b-ad8f-863796930710,Trueblue - Blueberry Cranberry,1.36
7e3ef741-cc55-4992-b12a-edd73dcb4f3a,Spaghetti Squash,1.57
83252764-88db-401c-b36a-70aacbcb6cab,"Lamb - Leg, Diced",1.97
24004dbe-5f33-4d67-9fba-c50404ff308f,Ice Cream Bar - Hageen Daz To,8.11
a374d7f8-f1de-4a5c-b6ce-b99ef6a7e9f1,Tea - Camomele,7.28
b67e022c-4d3c-4ba4-bf8d-adf72859f3f4,Tomatoes Tear Drop,9.18
84c342fb-fe3a-42e0-9c51-8d56471adee5,Melon - Watermelon Yellow,3.07
5120ced7-23a4-451a-ab21-7b9e56803c09,Coriander - Seed,4.19
1adb6310-1d66-41a0-8c02-72673d0e6c66,"Capon - Breast, Double, Wing On",6.51
ef0aaa16-71ed-4918-8069-bd2b9221ed1c,Chocolate - Feathers,5.58
75fe2b88-2349-4a66-8177-0587470033f8,"Lid - High Heat, Super Clear",6.84
3a25ccef-ced9-485d-bb8f-f0324c84871c,"Lamb - Leg, Diced",4.03
f77bbd8d-49b7-4a5d-99a1-011bb9f5c2cd,Pork - Side Ribs,0.94
f646c4ef-1b4a-4489-ad5f-d7fa8f969045,Foil - 4oz Custard Cup,4.87
e6fb832b-0f94-41b0-9da9-ab15f26c2c7c,Black Currants,5.07
b8599618-cc47-44a2-bea3-9c265ba4256b,Puree - Guava,1.1
6aae64f1-fb42-48f7-9555-a0b1e9452f18,Table Cloth 91x91 Colour,1.74
cd2184e7-fa8d-40c7-8256-51e3397eed52,Salmon Steak - Cohoe 8 Oz,3.28
a69ce85e-3bd6-4034-b47f-4a26266aece9,Oil - Sesame,0.13
2da2572a-bc0f-49f0-beec-11008e0dac05,Lamb - Shanks,3.17
49e78712-541f-4f14-9616-1de85e1c547a,Wine - Chablis J Moreau Et Fils,1.28
26e86482-0047-488e-9c8b-a4885aaf6b07,Sugar - Invert,8.51
126dcdcd-3a85-42a9-9ea6-a4f2f2dd8d2d,Puree - Mango,4.09
0b1a4cbd-7885-44c8-8bc9-48bced736156,Veal - Inside,4.35
8ab1e373-ab46-4939-9807-2838df1c3c6e,Yogurt - French Vanilla,2.27
24d8e750-03d0-4e07-9c73-9fba41f20d6c,Pernod,0.12
e81ecaff-8a12-4eb5-8ff4-d422d69c7a1d,Sprouts - China Rose,3.79
e085ce2a-d679-4958-a655-6ec4419105dc,Turkey - Oven Roast Breast,0.58
559d98be-10da-4e42-afe6-62226afa71f5,"Soup - Knorr, French Onion",6.87
fd193b71-893e-42aa-a7dc-1f06896d28d4,Sauce - Marinara,1.39
4fe01383-8977-456e-8763-ffee20c9ac30,Wine - Placido Pinot Grigo,3.06
e3168e48-3a8a-409f-97e9-2c5666b70285,Longos - Chicken Cordon Bleu,8.04
31b97785-fbb9-4c94-80f0-1d05b0135d1e,Chips - Doritos,3.17
335c6b5d-0d72-4dcf-b76a-79a61df3ab04,Cranberries - Dry,6.67
bde2f5a4-99b6-4376-931e-827685d10673,Cake - French Pear Tart,5.55
e74b7f70-be6e-480a-b59d-5da7ecf3b561,Gatorade - Orange,6.12
3b03bc4f-0190-4795-8536-6a85391a64b1,Eggwhite Frozen,0.13
a085a823-63a8-4351-a9d8-3b43f95b16ff,Ginger - Ground,7.4
bfc09f8c-3bf7-4fd1-b96d-8af4595d2750,Syrup - Monin - Passion Fruit,7.91
959fd9af-864e-49e4-aead-5b03e07890ce,Pepper - Scotch Bonnet,4.73
7521cca3-78fd-4288-985f-d26f6a2a58b3,Crawfish,0.88
457aa3e2-d5ee-495b-a525-a53007f93c01,Watercress,8.26
dc3a1cf3-9ea8-485f-8feb-b9a94de99b78,Apples - Spartan,8.53
9a34ffc9-110a-466f-93fe-391c58db377e,"Cheese - Romano, Grated",1.8
